#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	507	0.050	384
0.075	506	0.101	386
0.127	506	0.151	387
0.177	506	0.202	389
0.228	506	0.252	389
0.278	506	0.304	389
0.329	507	0.354	389
0.379	506	0.405	387
0.431	507	0.455	390
0.481	506	0.506	389
0.532	508	0.557	391
0.582	508	0.608	389
0.633	507	0.658	392
0.684	507	0.709	388
0.735	507	0.759	389
0.785	506	0.811	391
0.836	506	0.861	395
0.886	506	0.912	397
0.938	506	0.962	402
0.988	506	1.013	404
1.039	506	1.064	404
1.089	506	1.115	406
1.140	507	1.165	409
1.190	506	1.216	412
1.242	506	1.266	419
1.292	508	1.317	431
1.343	507	1.368	445
1.393	507	1.419	465
1.444	506	1.469	485
1.495	507	1.520	507
1.546	506	1.570	528
1.596	506	1.622	549
1.647	507	1.672	566
1.697	506	1.723	581
1.749	507	1.773	592
1.799	506	1.824	599
1.850	507	1.875	600
1.900	507	1.926	597
1.951	507	1.977	589
2.001	508	2.027	576
2.053	507	2.078	562
2.103	507	2.128	543
2.154	507	2.180	524
2.204	507	2.230	503
2.255	507	2.281	482
2.306	507	2.331	464
2.357	507	2.382	447
2.407	506	2.433	434
2.458	506	2.484	424
2.508	506	2.534	416
2.560	506	2.585	415
2.610	506	2.635	419
2.661	506	2.687	426
2.711	507	2.737	438
2.762	506	2.788	452
2.812	506	2.838	469
2.864	507	2.889	488
2.914	507	2.939	508
2.965	507	2.991	527
3.015	507	3.041	546
3.066	507	3.092	563
3.117	507	3.142	577
3.168	507	3.193	587
3.218	507	3.244	592
3.269	507	3.295	595
3.319	506	3.345	592
3.371	507	3.396	585
3.421	507	3.446	574
3.472	507	3.498	560
3.522	507	3.548	543
3.573	507	3.599	524
3.624	507	3.649	504
3.675	507	3.700	485
3.725	506	3.750	466
3.776	507	3.802	450
3.826	507	3.852	436
3.877	506	3.903	426
3.928	506	3.953	419
3.979	506	4.004	418
4.029	506	4.055	421
4.080	506	4.106	429
4.130	506	4.156	439
4.182	506	4.207	453
4.232	506	4.257	471
4.283	506	4.309	489
4.333	506	4.359	510
4.384	506	4.410	528
4.435	507	4.460	547
4.486	506	4.511	562
4.536	507	4.561	576
4.587	507	4.613	585
4.637	507	4.663	591
4.688	508	4.714	592
4.739	507	4.764	589
4.790	507	4.815	582
4.841	507	4.866	570
4.891	507	4.917	557
4.942	507	4.967	539
4.993	507	5.018	522
5.044	507	5.068	503
5.094	506	5.120	484
5.145	507	5.170	467
5.195	507	5.221	452
5.247	506	5.271	439
5.297	506	5.322	430
5.348	506	5.372	423
5.398	507	5.424	423
5.449	507	5.474	425
5.499	506	5.525	432
5.551	506	5.575	443
5.601	506	5.626	457
5.652	506	5.677	473
5.702	507	5.728	490
5.753	506	5.778	510
5.804	506	5.829	528
5.855	507	5.879	545
5.905	507	5.931	560
5.956	507	5.981	572
6.006	508	6.032	582
6.058	508	6.082	588
6.108	508	6.133	589
6.159	508	6.184	586
6.209	507	6.235	579
6.260	507	6.285	568
6.310	507	6.336	554
6.362	508	6.386	538
6.412	507	6.437	521
6.463	507	6.488	503
6.513	506	6.539	485
6.564	506	6.589	468
6.615	506	6.640	453
6.666	506	6.690	441
6.716	506	6.742	432
6.767	506	6.792	426
6.817	506	6.843	425
6.869	506	6.893	428
6.919	507	6.944	435
6.970	506	6.995	446
7.020	506	7.046	459
7.071	507	7.096	475
7.121	506	7.147	492
7.173	507	7.197	510
7.223	507	7.248	528
7.274	506	7.299	545
7.324	507	7.350	559
7.375	508	7.400	572
7.426	507	7.451	580
7.477	507	7.501	586
7.527	507	7.553	586
7.578	508	7.603	582
7.628	507	7.654	576
7.680	508	7.704	565
7.730	507	7.755	552
7.781	507	7.806	536
7.831	507	7.857	519
7.882	507	7.908	501
7.932	506	7.958	485
7.984	506	8.009	469
8.034	507	8.059	454
8.085	506	8.111	443
8.135	506	8.161	435
8.186	506	8.212	429
8.237	508	8.262	428
8.288	506	8.313	432
8.338	506	8.364	438
8.389	506	8.415	449
8.439	506	8.465	462
8.491	506	8.516	477
8.541	506	8.566	493
8.592	507	8.618	511
8.642	507	8.668	528
8.693	507	8.719	544
8.744	507	8.769	557
8.795	508	8.820	570
8.845	507	8.870	578
8.896	508	8.922	582
8.946	507	8.972	583
8.997	507	9.023	580
9.048	507	9.073	573
9.099	507	9.124	563
9.149	507	9.175	549
9.200	507	9.226	534
9.250	507	9.276	518
9.302	507	9.327	501
