#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 11:24:22 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	497	0.050	448
0.076	498	0.102	449
0.127	498	0.152	451
0.177	498	0.203	449
0.229	498	0.253	450
0.279	497	0.304	451
0.330	498	0.355	452
0.380	498	0.406	451
0.431	498	0.456	452
0.482	498	0.507	452
0.533	498	0.557	452
0.583	498	0.609	452
0.634	498	0.659	451
0.684	498	0.710	450
0.735	498	0.760	450
0.786	498	0.811	450
0.837	498	0.861	449
0.887	498	0.913	449
0.938	498	0.963	449
0.988	497	1.014	454
1.040	498	1.064	461
1.090	498	1.115	473
1.141	498	1.166	489
1.191	498	1.217	508
1.242	498	1.267	526
1.293	498	1.318	547
1.344	498	1.368	566
1.394	498	1.420	584
1.445	499	1.470	600
1.495	498	1.521	613
1.546	498	1.571	621
1.597	497	1.622	626
1.648	499	1.672	626
1.698	498	1.724	622
1.749	499	1.774	613
1.799	499	1.825	601
1.851	498	1.875	586
1.901	498	1.926	568
1.952	499	1.977	549
2.002	498	2.028	528
2.053	499	2.078	509
2.104	498	2.129	491
2.155	499	2.179	476
2.205	498	2.231	464
2.256	498	2.281	455
2.306	498	2.332	451
2.357	498	2.382	451
2.408	498	2.433	456
2.459	498	2.483	464
2.509	497	2.535	477
2.560	499	2.585	492
2.610	498	2.636	510
2.662	498	2.686	529
2.712	498	2.737	549
2.763	498	2.788	568
2.813	498	2.839	585
2.864	498	2.889	600
2.915	498	2.940	612
2.966	498	2.990	620
3.016	498	3.042	624
3.067	498	3.092	624
3.117	499	3.143	620
3.169	498	3.193	610
3.219	499	3.244	598
3.270	499	3.295	583
3.320	499	3.346	566
3.371	499	3.397	546
3.421	499	3.447	526
3.473	499	3.498	507
3.523	498	3.548	490
3.574	498	3.600	476
3.624	498	3.650	465
3.675	498	3.701	456
3.726	498	3.751	452
3.777	497	3.802	453
3.827	498	3.853	458
3.878	498	3.904	467
3.928	497	3.954	479
3.980	498	4.005	495
4.030	498	4.055	513
4.081	497	4.106	532
4.131	498	4.157	551
4.182	498	4.208	570
4.232	498	4.258	587
4.284	498	4.309	601
4.334	498	4.359	612
4.385	498	4.411	620
4.435	498	4.461	623
4.486	499	4.512	623
4.537	500	4.562	618
4.588	499	4.613	608
4.638	499	4.664	596
4.689	499	4.715	581
4.739	499	4.765	562
4.791	498	4.816	543
4.841	498	4.866	524
4.892	498	4.917	506
4.942	498	4.968	489
4.993	499	5.019	476
5.043	498	5.069	464
5.095	498	5.120	457
5.145	498	5.170	454
5.196	498	5.222	455
