#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	401	0.050	527
0.076	401	0.102	528
0.126	402	0.152	529
0.177	401	0.203	529
0.227	403	0.253	529
0.279	401	0.304	529
0.329	401	0.354	530
0.380	401	0.406	528
0.430	401	0.456	528
0.481	401	0.507	527
0.532	400	0.557	527
0.583	400	0.608	525
0.633	399	0.659	526
0.684	399	0.710	525
0.734	398	0.760	524
0.786	398	0.811	523
0.836	398	0.861	523
0.887	398	0.913	522
0.937	398	0.963	522
0.988	399	1.014	519
1.038	398	1.064	514
1.090	399	1.115	508
1.140	399	1.165	501
1.191	399	1.217	492
1.241	399	1.267	484
1.292	399	1.318	476
1.343	399	1.368	469
1.394	400	1.419	464
1.444	398	1.470	456
1.495	398	1.521	450
1.545	398	1.571	445
1.597	398	1.622	441
1.647	397	1.672	436
1.698	396	1.724	432
1.748	395	1.774	432
1.799	395	1.825	429
1.849	393	1.875	427
1.901	393	1.926	426
1.951	393	1.976	424
2.002	392	2.028	424
2.052	392	2.078	422
2.103	392	2.129	422
2.154	392	2.179	422
2.205	392	2.230	423
2.255	392	2.281	422
2.306	394	2.332	422
2.356	393	2.382	422
2.408	394	2.433	423
2.458	395	2.483	423
2.509	396	2.535	424
2.559	397	2.585	421
2.610	397	2.636	422
2.660	398	2.686	419
2.712	397	2.737	421
2.762	398	2.787	422
2.813	398	2.839	422
2.863	398	2.889	422
2.914	397	2.940	422
2.965	397	2.990	422
3.016	396	3.041	423
3.067	396	3.092	422
3.117	396	3.143	420
3.168	395	3.193	422
3.219	394	3.244	423
3.270	393	3.294	423
3.320	393	3.346	423
3.371	393	3.396	422
3.421	393	3.447	422
3.473	392	3.497	420
3.523	393	3.548	423
3.574	393	3.598	421
3.624	393	3.650	423
3.675	394	3.700	421
3.725	394	3.751	422
3.777	395	3.801	424
3.827	395	3.852	423
3.878	397	3.903	420
3.928	397	3.954	419
3.979	398	4.004	421
4.030	397	4.055	417
4.081	398	4.105	418
4.131	398	4.157	421
4.182	396	4.207	422
4.232	397	4.258	424
4.284	396	4.308	426
4.334	397	4.359	428
4.385	396	4.409	429
4.435	396	4.461	430
4.486	394	4.511	428
4.536	393	4.562	427
4.588	395	4.612	426
4.638	394	4.663	425
4.689	393	4.714	424
4.739	393	4.765	423
4.790	394	4.815	424
4.841	394	4.866	423
