#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	408	0.050	325
0.076	408	0.100	323
0.126	408	0.152	324
0.177	407	0.202	324
0.227	408	0.253	325
0.279	407	0.304	326
0.329	407	0.354	326
0.380	408	0.406	327
0.430	408	0.456	328
0.481	408	0.507	327
0.532	409	0.557	327
0.583	409	0.608	329
0.633	410	0.659	327
0.684	410	0.710	327
0.734	411	0.760	325
0.785	411	0.811	325
0.836	411	0.861	326
0.887	411	0.912	327
0.937	411	0.963	328
0.988	412	1.014	330
1.038	411	1.064	333
1.090	411	1.115	336
1.140	411	1.165	335
1.191	410	1.217	336
1.241	409	1.267	332
1.292	410	1.318	333
1.343	409	1.368	333
1.394	410	1.419	334
1.444	409	1.470	335
1.495	408	1.521	335
1.545	408	1.571	339
1.596	408	1.622	336
1.647	408	1.672	335
1.698	409	1.723	335
1.748	409	1.774	335
1.799	409	1.825	331
1.849	409	1.875	329
1.901	410	1.926	330
1.951	411	1.976	327
2.002	411	2.028	323
2.052	410	2.078	322
2.103	411	2.129	320
2.154	410	2.179	316
2.205	411	2.230	318
2.255	409	2.281	319
2.306	410	2.332	319
2.356	411	2.382	319
2.408	410	2.433	316
2.458	410	2.483	315
2.509	410	2.534	315
2.559	409	2.585	317
2.610	408	2.636	318
2.660	408	2.686	319
2.712	408	2.737	316
2.762	407	2.787	317
2.813	408	2.839	315
2.863	408	2.889	318
2.914	408	2.940	312
2.965	408	2.990	315
3.016	408	3.041	313
3.066	408	3.092	313
3.117	409	3.143	317
3.167	409	3.193	316
3.219	409	3.244	317
3.269	410	3.294	314
3.320	410	3.345	318
3.370	411	3.396	315
3.421	412	3.447	314
3.471	411	3.497	313
3.523	412	3.548	314
3.573	411	3.598	315
3.624	410	3.650	318
3.674	411	3.700	315
3.725	410	3.751	318
3.776	409	3.801	319
3.827	409	3.852	318
3.877	409	3.903	315
3.928	408	3.954	317
3.978	408	4.004	315
4.030	407	4.055	317
4.080	408	4.105	317
4.131	408	4.156	315
4.181	407	4.207	317
4.232	406	4.258	316
4.282	408	4.308	317
4.334	407	4.359	317
4.384	408	4.409	317
4.435	409	4.461	317
4.485	409	4.511	315
4.536	410	4.562	318
4.587	410	4.612	318
4.638	410	4.663	318
4.688	411	4.714	316
4.739	411	4.765	315
4.789	411	4.815	315
4.841	411	4.866	316
4.891	410	4.916	316
4.942	411	4.968	319
4.992	411	5.018	315
5.043	410	5.069	316
5.093	410	5.119	314
5.145	408	5.170	313
5.195	410	5.220	316
5.246	408	5.272	316
5.296	408	5.322	315
5.347	408	5.373	314
5.398	408	5.423	315
5.449	408	5.474	316
5.499	408	5.525	316
5.550	409	5.576	315
5.600	409	5.626	317
5.652	408	5.677	319
5.702	409	5.727	335
5.753	408	5.779	359
5.803	409	5.829	393
5.854	410	5.880	433
5.904	411	5.930	477
5.956	411	5.981	523
6.006	413	6.031	569
6.057	414	6.083	612
6.107	416	6.133	652
6.158	419	6.184	683
6.209	422	6.234	706
6.260	424	6.285	721
6.310	428	6.336	724
6.361	431	6.387	717
6.411	434	6.437	702
6.463	437	6.488	674
6.513	438	6.538	639
6.564	441	6.590	598
6.614	440	6.640	555
6.665	440	6.691	508
6.715	438	6.741	462
6.767	435	6.792	420
6.817	431	6.842	384
6.868	426	6.894	353
6.918	421	6.944	332
6.969	414	6.995	320
7.020	408	7.045	322
7.071	402	7.096	332
7.121	397	7.147	354
7.172	391	7.198	383
7.222	387	7.248	419
7.274	384	7.299	461
7.324	383	7.349	506
7.375	384	7.401	551
7.425	386	7.451	595
7.476	391	7.502	634
7.526	397	7.552	668
7.578	405	7.603	696
7.629	413	7.653	712
7.679	423	7.705	720
7.730	432	7.755	716
7.780	443	7.806	703
7.832	450	7.856	683
7.882	458	7.907	651
7.933	463	7.958	613
7.983	467	8.009	571
8.034	468	8.059	527
8.085	467	8.110	482
8.136	464	8.160	439
8.186	457	8.212	402
8.237	448	8.262	370
8.287	437	8.313	345
8.339	426	8.363	330
8.389	413	8.414	326
8.440	400	8.464	334
8.490	388	8.516	350
8.541	377	8.566	375
8.591	367	8.617	408
8.643	361	8.667	446
8.693	357	8.718	488
8.744	356	8.769	532
8.794	358	8.820	575
8.845	364	8.870	615
8.896	373	8.921	651
8.947	384	8.971	678
8.997	398	9.023	699
9.048	413	9.073	712
9.098	428	9.124	710
9.150	444	9.174	701
9.200	460	9.225	684
9.251	472	9.275	658
9.301	484	9.327	624
9.352	491	9.377	586
9.402	495	9.428	544
9.454	495	9.478	501
9.504	491	9.529	459
9.555	483	9.580	421
9.605	472	9.631	388
9.656	457	9.681	362
9.707	440	9.732	343
9.758	422	9.782	337
9.808	403	9.834	339
9.859	384	9.884	351
9.909	368	9.935	372
9.961	353	9.985	401
10.011	341	10.036	435
10.062	335	10.086	474
10.112	330	10.138	515
10.163	332	10.188	557
10.213	338	10.239	597
10.265	348	10.289	631
10.315	363	10.340	661
10.366	380	10.391	684
10.416	400	10.442	697
10.467	421	10.492	700
10.518	443	10.543	695
10.569	463	10.594	683
10.619	483	10.645	660
10.670	498	10.696	632
10.720	511	10.746	597
10.772	519	10.797	559
10.822	521	10.847	518
10.873	517	10.899	479
10.923	509	10.949	442
10.974	497	11.000	409
11.024	479	11.050	381
11.076	458	11.101	361
11.126	435	11.151	350
11.177	410	11.203	349
11.227	385	11.253	357
11.278	363	11.304	373
11.329	343	11.354	397
11.380	327	11.405	427
11.430	315	11.456	463
11.481	309	11.507	500
11.531	308	11.557	539
11.583	313	11.608	576
11.633	323	11.658	611
11.684	338	11.710	641
11.734	360	11.760	665
11.785	383	11.811	681
11.835	409	11.861	688
11.887	436	11.912	686
11.937	463	11.962	677
11.988	487	12.014	659
12.038	509	12.064	635
12.089	526	12.115	606
12.140	537	12.165	571
12.191	543	12.216	534
12.241	542	12.267	497
12.292	535	12.318	461
12.342	521	12.368	429
12.394	502	12.419	402
12.444	479	12.469	381
12.495	451	12.521	367
12.545	422	12.571	364
12.596	392	12.622	367
12.646	364	12.672	379
12.698	338	12.723	399
12.748	316	12.773	424
12.799	300	12.825	454
12.849	290	12.875	488
12.900	287	12.926	523
12.951	290	12.976	559
13.002	299	13.027	592
