#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	580	0.050	411
0.075	583	0.100	411
0.126	582	0.151	411
0.177	580	0.201	411
0.227	582	0.253	411
0.278	580	0.303	410
0.328	580	0.354	411
0.379	581	0.404	410
0.430	582	0.455	410
0.481	580	0.505	408
0.531	581	0.557	410
0.582	581	0.607	410
0.632	580	0.658	410
0.684	581	0.708	410
0.734	580	0.759	410
0.785	581	0.810	410
0.835	580	0.861	410
0.886	583	0.911	411
0.937	579	0.962	409
0.988	582	1.013	410
1.038	581	1.064	410
1.089	581	1.115	410
1.139	580	1.165	410
1.190	580	1.216	410
1.241	580	1.266	410
1.292	579	1.317	411
1.342	580	1.368	410
1.393	580	1.419	410
1.443	579	1.469	409
1.495	582	1.520	410
1.545	580	1.570	411
1.596	579	1.622	411
1.646	581	1.672	410
1.697	580	1.723	410
1.748	578	1.773	410
1.799	581	1.824	410
1.849	580	1.875	408
1.900	580	1.926	410
1.950	580	1.976	411
2.001	580	2.027	411
2.052	579	2.077	410
2.103	580	2.128	410
2.153	578	2.179	410
2.204	579	2.230	412
2.254	577	2.280	410
2.306	579	2.331	411
2.356	580	2.381	411
2.407	578	2.433	410
2.457	579	2.483	412
2.508	581	2.534	411
2.559	580	2.584	411
2.610	580	2.635	411
2.660	581	2.686	411
2.711	580	2.737	411
2.761	580	2.787	411
2.813	580	2.838	411
2.863	580	2.888	411
2.914	579	2.939	411
2.964	579	2.990	410
3.015	579	3.041	412
3.065	579	3.091	411
3.117	578	3.142	411
3.167	580	3.192	411
3.218	578	3.244	412
3.268	579	3.294	411
3.319	578	3.345	412
3.370	579	3.395	413
3.421	575	3.446	418
3.471	565	3.497	430
3.522	548	3.548	446
3.572	528	3.598	465
3.624	504	3.649	488
3.674	477	3.699	512
3.725	450	3.750	537
3.775	423	3.801	560
3.826	400	3.852	582
3.876	379	3.902	599
3.928	363	3.953	613
3.978	353	4.003	620
4.029	349	4.055	624
4.079	351	4.105	621
4.130	359	4.156	611
4.181	373	4.206	598
4.232	391	4.257	580
4.282	413	4.308	559
4.333	439	4.359	534
4.383	466	4.409	511
4.435	492	4.460	486
4.485	517	4.510	463
4.536	539	4.561	444
4.586	557	4.612	429
4.637	569	4.663	420
4.687	576	4.713	415
4.739	577	4.764	415
4.789	571	4.814	421
4.840	559	4.866	433
4.890	542	4.916	450
4.941	521	4.967	469
4.992	497	5.017	492
5.043	471	5.068	516
5.093	444	5.119	540
5.144	419	5.170	563
5.194	395	5.220	584
5.246	377	5.271	600
5.296	362	5.321	611
5.347	354	5.373	618
5.397	351	5.423	620
5.448	354	5.474	616
5.498	364	5.524	607
5.550	378	5.575	592
5.600	396	5.625	575
5.651	419	5.677	553
5.701	446	5.727	531
5.752	471	5.778	506
5.803	496	5.828	483
5.854	521	5.879	462
5.904	541	5.930	443
5.955	558	5.981	429
6.005	569	6.031	421
6.057	574	6.082	416
6.107	574	6.132	418
6.158	568	6.184	425
6.208	555	6.234	437
6.259	538	6.285	454
6.309	516	6.335	474
6.361	491	6.386	496
6.411	465	6.436	519
6.462	439	6.488	543
6.512	415	6.538	564
6.563	392	6.589	584
6.614	374	6.639	600
6.665	361	6.690	612
6.715	354	6.741	618
6.766	352	6.792	618
6.816	357	6.842	613
6.868	367	6.893	603
6.918	382	6.943	588
6.969	401	6.995	571
7.019	424	7.045	549
7.070	450	7.096	526
7.120	477	7.146	503
7.172	501	7.197	480
7.222	525	7.247	460
7.273	545	7.299	443
7.323	559	7.349	430
7.374	569	7.400	421
7.425	573	7.450	418
7.476	572	7.501	420
7.526	564	7.552	429
7.577	551	7.603	441
7.627	532	7.653	458
7.679	510	7.704	478
7.729	485	7.754	501
7.780	459	7.806	524
7.830	435	7.856	546
7.881	409	7.907	567
7.931	390	7.957	586
7.983	372	8.008	600
8.034	360	8.058	610
8.084	353	8.110	615
8.135	354	8.160	615
8.185	359	8.211	609
8.237	371	8.261	599
8.287	387	8.312	584
8.338	407	8.363	566
8.388	430	8.414	545
8.439	456	8.464	522
8.490	481	8.515	500
8.541	506	8.565	478
8.591	528	8.617	458
8.642	547	8.667	442
8.692	561	8.718	431
8.744	569	8.768	423
8.794	573	8.819	421
8.845	569	8.869	424
8.895	560	8.921	433
8.946	546	8.971	446
8.996	527	9.022	462
9.048	505	9.072	483
9.098	481	9.123	504
9.149	455	9.174	526
9.199	429	9.225	549
9.250	406	9.275	569
9.301	386	9.326	586
9.352	371	9.376	600
9.402	360	9.428	609
9.453	355	9.478	614
9.503	354	9.529	612
9.555	362	9.579	606
9.605	373	9.630	595
9.656	391	9.680	580
9.706	412	9.732	561
9.757	435	9.782	541
9.807	460	9.833	518
9.859	486	9.883	496
9.909	510	9.934	475
9.960	531	9.985	457
10.010	549	10.036	441
10.061	562	10.086	432
10.112	570	10.137	425
10.163	571	10.187	423
10.213	567	10.239	428
10.264	557	10.289	437
10.314	542	10.340	450
10.366	523	10.390	467
10.416	500	10.441	487
10.467	474	10.491	509
10.517	450	10.543	531
10.568	425	10.593	553
10.618	403	10.644	572
10.670	383	10.694	588
10.720	369	10.745	600
10.771	360	10.796	608
10.821	355	10.847	611
10.872	357	10.897	609
10.923	366	10.948	603
10.974	378	10.999	591
11.024	395	11.050	576
11.075	416	11.101	556
11.125	441	11.151	536
11.177	465	11.202	515
11.227	490	11.252	493
11.278	514	11.304	473
11.328	535	11.354	455
11.379	551	11.405	442
11.429	563	11.455	432
11.481	570	11.506	427
11.531	570	11.556	427
11.582	565	11.608	432
11.632	554	11.658	441
11.683	538	11.709	455
11.734	518	11.759	472
11.785	495	11.810	492
11.835	471	11.861	513
11.886	446	11.912	535
11.936	421	11.962	555
11.988	400	12.013	574
12.038	381	12.063	589
12.089	368	12.115	601
12.139	359	12.165	607
12.190	357	12.216	609
12.240	360	12.266	606
12.292	368	12.317	598
12.342	382	12.367	587
12.393	400	12.419	571
12.443	421	12.469	552
12.494	445	12.520	531
12.545	470	12.570	511
12.596	494	12.621	489
12.646	517	12.672	471
12.697	537	12.723	454
12.747	553	12.773	441
12.799	564	12.824	433
12.849	569	12.874	428
12.900	570	12.926	429
12.950	562	12.976	435
13.001	551	13.027	445
13.051	534	13.077	460
13.103	513	13.128	477
13.153	491	13.178	497
13.204	466	13.230	518
13.254	441	13.280	539
13.305	418	13.331	558
13.356	397	13.381	576
13.407	380	13.432	589
13.457	367	13.483	600
13.508	360	13.534	606
13.558	358	13.584	608
13.610	362	13.635	603
13.660	371	13.685	595
13.711	386	13.737	583
13.761	404	13.787	566
13.812	425	13.838	547
13.862	449	13.888	527
13.914	474	13.939	506
13.964	498	13.989	487
14.015	520	14.041	468
14.065	539	14.091	453
14.116	554	14.142	442
14.167	564	14.192	433
14.218	568	14.243	430
14.269	566	14.294	432
14.319	559	14.345	439
14.370	547	14.395	450
14.421	530	14.446	465
14.472	509	14.496	481
14.522	486	14.548	501
14.573	462	14.598	522
14.623	438	14.649	542
14.675	415	14.699	561
14.725	394	14.750	578
14.776	379	14.800	590
14.826	367	14.852	599
14.877	360	14.902	604
14.927	359	14.953	604
14.979	364	15.003	599
15.029	374	15.054	590
15.080	389	15.105	577
15.130	409	15.156	561
15.181	430	15.206	542
15.232	454	15.257	522
15.283	478	15.307	502
15.333	501	15.359	483
15.384	523	15.409	466
15.434	541	15.460	452
15.486	555	15.510	441
15.536	563	15.561	434
15.587	567	15.611	433
15.637	564	15.663	435
15.688	557	15.713	443
15.738	543	15.764	454
15.790	526	15.814	469
15.840	505	15.865	487
15.891	482	15.916	506
15.941	458	15.967	527
15.992	434	16.017	546
16.043	412	16.068	563
16.094	392	16.118	579
16.144	377	16.170	591
16.195	366	16.220	599
16.245	361	16.271	603
16.297	361	16.321	602
16.347	366	16.372	596
16.398	377	16.422	587
16.448	393	16.474	573
16.499	412	16.524	557
16.549	434	16.575	538
16.601	458	16.625	518
16.651	482	16.676	499
16.702	505	16.727	480
16.752	525	16.778	464
16.803	543	16.828	451
16.854	555	16.879	441
16.905	563	16.929	435
16.955	566	16.981	434
17.006	562	17.031	438
17.056	555	17.082	447
17.108	539	17.132	458
17.158	522	17.183	474
17.209	502	17.233	491
17.259	478	17.285	510
17.310	454	17.336	530
17.360	431	17.386	549
17.412	409	17.437	566
17.462	391	17.487	582
17.513	376	17.539	591
17.563	366	17.589	599
17.614	362	17.640	601
17.665	363	17.690	599
17.716	369	17.741	593
17.766	381	17.792	582
17.817	397	17.843	569
17.867	416	17.893	552
17.919	438	17.944	533
17.969	461	17.994	514
18.020	486	18.046	495
18.070	507	18.096	478
18.121	527	18.147	463
18.171	544	18.197	450
18.223	555	18.248	441
18.273	563	18.298	436
18.324	564	18.350	436
18.374	560	18.400	442
18.425	550	18.451	450
18.476	536	18.501	463
18.527	518	18.552	479
18.577	496	18.603	496
18.628	474	18.654	515
18.678	451	18.704	534
18.730	428	18.755	552
18.780	406	18.805	568
18.831	389	18.857	582
18.881	376	18.907	591
18.932	368	18.958	599
18.982	364	19.008	600
19.034	365	19.059	596
19.084	373	19.109	589
19.135	384	19.161	578
19.185	401	19.211	564
19.236	421	19.262	547
19.287	442	19.312	529
19.338	465	19.363	510
19.388	488	19.414	492
19.439	510	19.465	475
19.489	528	19.515	460
19.541	544	19.566	448
19.591	556	19.616	441
19.642	561	19.668	438
19.692	562	19.718	439
19.743	557	19.769	444
19.793	547	19.819	454
19.845	532	19.870	467
19.895	514	19.920	483
19.946	492	19.972	501
19.996	470	20.022	519
20.047	447	20.073	538
20.098	425	20.123	556
20.149	405	20.174	571
20.199	388	20.225	583
20.250	376	20.276	592
20.300	368	20.326	597
20.352	365	20.377	598
20.402	368	20.427	594
20.453	376	20.479	587
20.503	388	20.529	575
20.554	405	20.580	560
20.605	424	20.630	542
20.656	447	20.681	524
20.706	469	20.731	506
20.757	492	20.783	487
20.807	512	20.833	473
20.858	531	20.884	458
20.909	545	20.934	448
20.960	555	20.985	441
21.010	560	21.036	439
21.061	560	21.087	441
21.111	554	21.137	447
21.163	543	21.188	458
21.213	528	21.238	471
21.264	509	21.290	487
21.314	489	21.340	505
21.365	467	21.391	524
21.416	444	21.441	541
21.467	422	21.492	559
21.517	403	21.542	572
21.568	388	21.594	586
21.618	376	21.644	593
21.669	369	21.695	597
21.720	367	21.745	596
21.771	371	21.796	591
21.822	379	21.847	583
21.872	392	21.898	570
21.923	409	21.948	555
21.974	429	21.999	538
22.025	451	22.049	520
22.075	473	22.101	501
22.126	494	22.151	484
22.176	514	22.202	470
22.228	532	22.252	457
22.278	545	22.303	448
22.329	554	22.353	442
22.379	558	22.405	441
22.430	557	22.455	443
22.480	551	22.506	451
22.532	540	22.556	462
22.582	524	22.607	475
22.633	505	22.658	492
22.683	484	22.709	509
22.734	463	22.759	528
22.785	441	22.810	546
22.836	420	22.860	560
22.886	402	22.912	575
22.937	387	22.962	586
22.987	376	23.013	592
23.039	371	23.063	595
23.089	370	23.114	594
23.140	374	23.165	589
23.190	383	23.216	579
23.241	396	23.266	567
23.291	413	23.317	551
23.343	433	23.367	534
23.393	454	23.418	516
23.444	476	23.469	499
23.494	497	23.520	482
23.545	517	23.570	467
23.596	533	23.621	455
23.647	545	23.671	447
23.697	553	23.723	442
23.748	556	23.773	441
23.798	554	23.824	446
23.850	547	23.874	453
23.900	536	23.925	465
23.951	520	23.976	480
24.001	501	24.027	496
24.052	481	24.077	513
24.102	459	24.128	530
24.154	437	24.178	548
24.204	418	24.229	564
24.255	400	24.280	577
24.305	387	24.331	587
24.356	378	24.381	593
24.407	372	24.432	594
24.458	371	24.482	592
24.508	377	24.534	586
24.559	387	24.584	576
24.609	400	24.635	563
24.661	417	24.685	547
24.711	437	24.736	530
24.762	458	24.787	511
24.812	480	24.838	495
24.863	500	24.889	478
24.913	518	24.939	465
24.965	533	24.990	454
25.015	545	25.040	446
25.066	552	25.092	442
25.116	554	25.142	443
25.167	551	25.193	448
25.218	543	25.243	456
25.269	532	25.294	468
25.319	516	25.345	483
25.370	497	25.396	499
25.420	476	25.446	517
25.472	457	25.497	535
25.522	435	25.547	551
25.573	416	25.599	566
25.623	399	25.649	578
25.674	386	25.700	587
25.725	378	25.750	592
25.776	374	25.801	593
25.826	375	25.851	591
25.877	381	25.903	584
25.927	392	25.953	573
25.978	405	26.004	559
26.029	422	26.054	543
26.080	441	26.105	526
26.130	461	26.156	509
26.181	482	26.207	492
26.231	502	26.257	476
26.283	519	26.308	463
26.333	534	26.358	453
26.384	544	26.410	446
26.434	550	26.460	443
26.485	551	26.511	445
26.536	547	26.561	450
26.587	539	26.612	459
26.637	527	26.662	470
26.688	511	26.714	487
26.738	493	26.764	503
26.789	473	26.815	521
26.840	452	26.865	537
26.891	432	26.916	554
26.941	414	26.967	569
26.992	399	27.018	580
27.042	386	27.068	588
27.094	380	27.119	592
27.144	377	27.169	592
27.195	378	27.221	588
27.245	385	27.271	581
27.296	395	27.322	571
27.347	409	27.372	557
27.398	427	27.423	541
27.448	446	27.473	523
27.499	466	27.525	505
27.549	486	27.575	489
27.600	505	27.626	474
27.651	521	27.676	461
27.702	534	27.727	451
27.752	543	27.778	446
27.803	548	27.829	444
27.853	549	27.879	446
27.905	544	27.930	452
27.955	535	27.980	462
28.006	523	28.032	476
28.056	506	28.082	490
28.107	488	28.133	507
28.158	468	28.183	525
28.209	448	28.234	541
28.259	430	28.285	557
28.310	412	28.336	570
