#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	341	0.051	467
0.075	342	0.101	468
0.127	341	0.152	468
0.178	341	0.202	467
0.228	344	0.254	467
0.279	342	0.304	464
0.329	340	0.355	463
0.381	339	0.405	463
0.431	338	0.456	464
0.482	335	0.507	466
0.532	335	0.558	465
0.583	333	0.608	468
0.634	332	0.659	468
0.685	332	0.709	468
0.735	333	0.761	469
0.786	332	0.811	470
0.836	336	0.862	468
0.888	336	0.912	468
0.938	339	0.963	466
0.989	340	1.013	465
1.039	341	1.065	465
1.090	343	1.115	463
1.140	342	1.166	466
1.192	342	1.216	464
1.242	342	1.267	463
1.293	341	1.318	464
1.343	341	1.369	463
1.394	339	1.419	462
1.445	336	1.470	461
1.496	335	1.520	460
1.546	334	1.572	459
1.597	330	1.622	461
1.647	331	1.673	460
1.699	329	1.723	460
1.749	331	1.774	458
1.800	330	1.824	456
1.850	333	1.876	452
1.901	332	1.926	450
1.951	326	1.977	447
2.003	324	2.027	443
2.053	323	2.078	443
2.104	325	2.129	445
2.154	329	2.180	444
2.205	335	2.230	442
2.256	342	2.281	448
2.307	348	2.331	447
2.357	351	2.383	447
2.408	354	2.433	446
2.458	354	2.484	445
2.510	355	2.534	446
2.560	354	2.585	448
2.611	351	2.635	448
2.661	349	2.687	447
2.712	347	2.738	447
2.762	347	2.788	446
2.814	346	2.839	443
2.864	347	2.889	444
2.915	347	2.941	443
2.965	347	2.991	443
3.016	349	3.042	439
3.067	351	3.092	438
3.118	351	3.143	437
3.168	352	3.194	435
3.219	353	3.245	435
3.269	352	3.295	431
3.321	348	3.346	431
3.371	348	3.396	428
3.422	346	3.448	428
3.472	344	3.498	425
3.523	343	3.549	422
3.573	343	3.599	422
3.625	343	3.650	421
3.675	343	3.700	417
3.726	344	3.752	416
3.776	343	3.802	419
3.827	343	3.853	416
3.878	344	3.903	419
3.929	345	3.954	417
3.979	346	4.005	417
4.030	346	4.056	417
4.080	345	4.106	418
4.132	346	4.157	418
4.182	344	4.207	418
4.233	343	4.259	418
4.283	342	4.309	416
4.334	341	4.360	415
4.384	342	4.410	412
4.436	345	4.461	415
4.486	348	4.511	414
4.537	347	4.563	414
4.587	348	4.613	415
4.638	347	4.664	415
4.689	348	4.714	418
4.740	347	4.765	416
4.790	346	4.816	416
4.841	345	4.867	415
4.891	345	4.917	415
4.943	342	4.968	416
4.993	341	5.018	414
5.044	341	5.070	414
5.094	338	5.120	413
5.145	342	5.171	414
5.195	341	5.221	415
5.247	343	5.272	413
5.297	342	5.322	413
5.348	343	5.374	414
5.398	344	5.424	411
5.449	343	5.475	413
5.500	342	5.525	416
5.551	341	5.576	414
5.601	341	5.627	414
5.652	342	5.678	412
5.702	341	5.728	411
5.754	342	5.779	413
5.804	344	5.829	414
5.855	344	5.881	415
5.905	345	5.931	416
5.956	344	5.982	414
6.007	344	6.032	414
6.058	345	6.083	414
6.108	346	6.133	413
6.159	344	6.185	415
6.209	344	6.235	415
6.260	343	6.286	413
6.311	345	6.336	413
6.362	342	6.387	415
6.412	344	6.438	414
6.463	344	6.489	415
6.513	344	6.539	416
6.565	346	6.590	412
6.615	343	6.640	416
6.666	343	6.692	414
6.716	341	6.742	416
6.767	344	6.793	416
6.818	343	6.843	416
6.869	344	6.894	414
6.919	342	6.944	415
6.970	341	6.996	414
7.020	340	7.046	414
7.071	341	7.097	413
7.122	343	7.147	413
7.173	343	7.198	414
